Latitude,Longitude,Sample,SiO2,Al2O3,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,V,Cr,Co,Ni,Cu,Pb,Zn,Rb,Sr,Cs,Y,Zr,Nb,Ba,Hf,Ta,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,SOM_Cluster,Plumbing_System,Geochemical_Group,Province,LaYb,Xwmerckm,Ywmerckm,LaYb10plus,LaYb10minus,HT,LT,X,S1,S2,S3,S4
-51.69,-58.111105,PS 502/712 Teal Cre,51.82,12.87,15.48,0.25,5.7,9.95,2.31,0.42,1.41,0.13,,456,82,52,55,279,,118,12,103,,-6710.71674949226,94,6,118,,,,,,,,,,,,,,,,,,,SA4,Falkand dike swarm,LT,Paraná,,,,,,,1.41,-6468.89861803445,,,,
-51.7,-58.111105,PS 503/711 Teal Cre,51.16,12.8,15.8,0.23,5.54,9.59,2.28,0.45,1.36,0.13,0.52,443,81,46,53,250,,113,14,105,,-6712.5080285396,92,4,141,,,,,,,,,,,,,,,,,,,SA4,Falkand dike swarm,LT,Paraná,,,,,,,1.36,-6468.89861803445,,,,
-51.71,-58.111105,PS 504A Port Sussex,52.45,13.03,11.81,0.2,9.06,8.52,2.12,0.71,0.92,0.12,0.77,242,571,53,166,93,,99,18,190,,-6714.29970554282,90,4,368,,,,,,,,,,,,,,,,,,,SA3,Falkand dike swarm,LT,Paraná,,,,,,,0.92,-6468.89861803445,,,,
-51.72,-58.111105,PS 504B Port Sussex,52.22,13.07,11.81,0.22,9.03,8.28,2.15,0.67,0.92,0.12,0.67,245,569,52,165,89,,92,17,190,,-6716.09178073232,93,3,368,,,,,,,,,,,,,,,,,,,SA3,Falkand dike swarm,LT,Paraná,,,,,,,0.92,-6468.89861803445,,,,
-51.73,-58.111105,PS 504C Port Sussex,52.2,12.91,11.76,0.22,9.46,8.17,2.1,0.64,0.9,0.12,0.72,240,628,54,180,96,,94,17,186,,-6717.88425433867,88,3,344,,,,,,,,,,,,,,,,,,,SA3,Falkand dike swarm,LT,Paraná,,,,,,,0.9,-6468.89861803445,,,,
-51.74,-58.111105,PS 505 Pony's Pass,51.38,13.26,14.75,0.32,5.81,9.78,2.41,0.5,1.29,0.14,0.55,396,47,64,69,205,,293,15,126,,-6719.6771265926,94,5,189,,,,,,,,,,,,,,,,,,,SA4,Falkand dike swarm,LT,Paraná,,,,,,,1.29,-6468.89861803445,,,,
-51.75,-58.111105,PS 713 Peat Banks,51.34,13.17,14.21,0.23,5.93,10.53,2.29,0.5,1.18,0.12,0.11,370,78,44,56,192,,102,16,200,,-6721.47039772505,92,5,118,,,,,,,,,,,,,,,,,,,SA3,Falkand dike swarm,LT,Paraná,,,,,,,1.18,-6468.89861803445,,,,
-51.76,-58.111105,PS 108 Lively Islan,51.79,15.5,11.18,0.19,6.09,10.37,2.34,0.77,0.84,0.16,0.21,207,213,39,64,63,,97,18,207,,-6723.2640679671,90,9,212,,,,,,,,,,,,,,,,,,,SA3,Falkand dike swarm,LT,Paraná,,,,,,,0.84,-6468.89861803445,,,,
-25.1,-49.35,B857,51.47,14.32,14.33,0.23,3.71,8.45,2.97,1.59,3.4,0.78,1.09,,35,,39,,,,27,482,,-2869.91277213015,250,,667,,,,,36,76,,,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5493.61687064805,-2869.91277213015,,,3.4,,-5493.61687064805,-274.186570508988,,-19.6408596910453,
-25.1,-49.36,B872,51.24,14.25,15.14,0.25,4.07,8.4,2.9,1.24,3.28,0.43,1.93,,27,,33,,,,24,655,,-2869.91277213015,225,,1429,,,,,35,73,,,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5494.73006555598,-2869.91277213015,,,3.28,,-5494.73006555598,-274.250121574017,,-19.4354230858515,
-25.1,-49.38,B767,50.7,15.65,13.57,0.23,4.76,9.44,2.79,1.32,2.18,0.56,1.38,,150,,76,,,,27,344,,-2869.91277213015,147,,362,,,,,32,56,,,,,,,,,,,,,SA4,Ponta Grossa dike swarm,TT,Paraná,,-5496.95645537185,-2869.91277213015,,,2.18,,-5496.95645537185,-274.377223704074,,-19.0245498754637,
-25.1,-49.39,B777,51.62,15.48,13.38,0.23,4.18,9.99,2.63,0.99,2.28,0.47,1.36,,166,,54,,,,19,254,,-2869.91277213015,141,,271,,,,,16,71,,,,,,,,,,,,,SA3,Ponta Grossa dike swarm,TT,Paraná,,-5498.06965027978,-2869.91277213015,,,2.28,,-5498.06965027978,-274.440774769102,,-18.8191132702699,
-25.1,-49.4,B788,51.19,15.53,13.93,0.23,4.26,9.73,2.82,0.86,2.27,0.38,1.18,,144,,62,,,,17,243,,-2869.91277213015,154,,315,,,,,18,60,,,,,,,,,,,,,SA3,Ponta Grossa dike swarm,TT,Paraná,,-5499.18284518771,-2869.91277213015,,,2.27,,-5499.18284518771,-274.504325834131,,-18.6136766650761,
-25.1,-49.41,B779,50.9,15.07,14.52,0.23,4.13,9.61,2.92,0.87,2.52,0.46,1.36,,111,,55,,,,18,251,,-2869.91277213015,190,,430,,,,,29,68,,,,,,,,,,,,,SA4,Ponta Grossa dike swarm,TT,Paraná,,-5500.29604009565,-2869.91277213015,,,2.52,,-5500.29604009565,-274.567876899159,,-18.4082400598823,
-25.1,-49.42,B937,50.96,15.46,13.96,0.22,5.15,9.85,2.59,0.89,1.79,0.32,1.28,,140,,83,,,,16,299,,-2869.91277213015,135,,506,,,,,27,49,,,,,,,,,,,,,SA3,Ponta Grossa dike swarm,LT,Paraná,,-5501.40923500358,-2869.91277213015,,,,1.79,-5501.40923500358,-274.631427964188,,-18.2028034546883,
-25.1,-49.43,B953,50.36,15.25,14.27,0.23,4.85,9.37,2.68,1.17,2.29,0.48,1.09,,139,,73,,,,20,347,,-2869.91277213015,161,,1299,,,,,27,41,,,,,,,,,,,,,SA4,Ponta Grossa dike swarm,TT,Paraná,,-5502.52242991151,-2869.91277213015,,,2.29,,-5502.52242991151,-274.694979029216,,-17.9973668494948,
-25.1,-49.46,B967,50.87,14.31,14.04,0.23,4.55,8.64,2.94,1.47,3.41,0.81,1.04,,51,,51,,,,26,482,,-2869.91277213015,224,,610,,,,,34,73,,,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5505.86201463531,-2869.91277213015,,,3.41,,-5505.86201463531,-274.885632224302,,-17.3810570339133,
-25.1,-49.49,B915,51.02,15.7,14.12,0.23,4.56,9.64,2.69,0.85,1.99,0.33,0.94,,130,,66,,,,18,352,,-2869.91277213015,146,,637,,,,,20,42,,,,,,,,,,,,,SA3,Ponta Grossa dike swarm,LT,Paraná,,-5509.20159935911,-2869.91277213015,,,,1.99,-5509.20159935911,-275.076285419388,,-16.7647472183317,
-25.1,-49.5,B918,54.65,13.7,13.35,0.17,3.79,7.14,3.13,1.82,2.83,0.48,1.72,,19,,21,,,,40,478,,-2869.91277213015,265,,1070,,,,,48,122,,,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5510.31479426704,-2869.91277213015,,,2.83,,-5510.31479426704,-275.139836484416,,-16.559310613138,
-25.1,-49.52,B919,51.22,13.46,15.1,0.23,4.71,7.98,2.94,1.45,3.45,0.58,1.29,,49,,53,,,,26,468,,-2869.91277213015,281,,368,,,,,43,95,,,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5512.54118408291,-2869.91277213015,,,3.45,,-5512.54118408291,-275.266938614473,,-16.1484374027502,
-25.1,-49.53,B920,50.84,15.85,14.22,0.24,4.53,9.69,2.71,0.85,2.07,0.32,1,,133,,70,,,,18,241,,-2869.91277213015,162,,384,,,,,18,36,,,,,,,,,,,,,SA3,Ponta Grossa dike swarm,TT,Paraná,,-5513.65437899084,-2869.91277213015,,,2.07,,-5513.65437899084,-274.972104910595,,-15.9430007975564,
-25.1,-49.54,B927,50.95,16.45,12.76,0.2,5.51,10.13,2.44,0.8,1.51,0.37,1.29,,140,,82,,,,17,311,,-2869.91277213015,112,,1698,,,,,14,54,,,,,,,,,,,,,SA4,Ponta Grossa dike swarm,LT,Paraná,,-5514.76757389877,-2869.91277213015,,,,1.51,-5514.76757389877,-273.540896430992,,-15.7375641923626,
-23.4,-49.5,PR93-19,52.5,13.14,14.72,0.2,3.66,7.06,2.85,1.59,3.6,0.65,1.76,,29,,42,,,,43,511,,-2663.50081925135,283,32,558,,,,,59,99,,56,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5510.31479426704,-2663.50081925135,,,3.6,,-5510.31479426704,-48.2846877481323,,,
-23.4,-49.6,PR93-18,52.23,14.09,15.42,0.22,3.54,7.94,2.96,0.92,2.59,0.32,1.24,,77,,48,,,,18,228,,-2663.50081925135,156,22,243,,,,,25,50,,28,,,,,,,,,,,SA4,Ponta Grossa dike swarm,HT,Paraná,,-5521.44674334637,-2663.50081925135,,,2.59,,-5521.44674334637,-52.4580981200317,,,
-23.7,-50.6,PR93-23,52.1,13.7,15.54,0.19,3.79,7.92,2.64,1.01,2.69,0.36,1.27,,68,,43,,,,26,218,,-2699.72575507167,220,20,354,,,,,39,54,,33,,,,,,,,,,,SA4,Ponta Grossa dike swarm,TT,Paraná,,-5632.76623413964,-2699.72575507167,,,2.69,,-5632.76623413964,-105.188824698351,,,
-23.8,-50.6,PR93-22A,51.7,13.97,14.98,0.21,3.96,8.12,2.66,0.94,2.84,0.37,1.7,,62,,50,,,,19,240,,-2711.81939716644,169,27,246,,,,,31,56,,31,,,,,,,,,,,SA4,Ponta Grossa dike swarm,HT,Paraná,,-5632.76623413964,-2711.81939716644,,,2.84,,-5632.76623413964,-109.190868789706,,,
-24.4,-50.7,PR93-24,51.92,13.5,14.24,0.18,3.84,6.97,2.74,1.6,3.57,0.55,2.21,,27,,32,,,,38,552,,-2784.58083768315,238,29,486,,,,,43,84,,49,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5643.89818321897,-2784.58083768315,,,3.57,,-5643.89818321897,-185.991365997044,,-26.3691490931957,
-24.8,-50.5,PR93-21,53.35,14.09,12.71,0.18,3.49,7.56,3.11,1.83,2.94,0.54,1.38,,52,,39,,,,39,432,,-2833.28238807891,276,28,522,,,,,43,84,,42,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5621.63428506032,-2833.28238807891,,,2.94,,-5621.63428506032,-188.711553803905,,-24.4107035911425,
-24.6,-50.8,PR93-26,54.78,14.09,11.47,0.17,3.36,6.9,3.29,2.01,3.14,0.56,1.14,,40,,32,,,,37,453,,-2808.9119391155,309,29,596,,,,,49,90,,46,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5655.0301322983,-2808.9119391155,,,3.14,,-5655.0301322983,-193.100642473272,,-26.3025950994667,
-24.6,-51.3,PR93-25,54.94,13.78,12.11,0.16,3.57,6.64,3.08,1.95,3.12,0.53,1.24,,42,,32,,,,43,468,,-2808.9119391155,301,31,591,,,,,56,93,,48,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5710.68987769493,-2808.9119391155,,,3.12,,-5710.68987769493,-245.442283493661,,-28.1291496704546,
-25.6,-48.9,PR93-28,52.59,13.4,13.59,0.17,4.16,6.82,2.61,1.63,3.68,0.71,1.85,,36,,46,,,,39,505,,-2931.16623662979,296,32,619,,,,,60,94,,51,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5443.52309979108,-2931.16623662979,,,3.68,,-5443.52309979108,,,,
-25.6,-48.9,PR93-29,53.01,13.41,12.78,0.18,3.9,6.77,2.72,1.67,2.9,0.65,2.54,,35,,44,,,,43,537,,-2931.16623662979,256,28,598,,,,,58,85,,48,,,,,,,,,,,SA1,Ponta Grossa dike swarm,HT,Paraná,,-5443.52309979108,-2931.16623662979,,,2.9,,-5443.52309979108,,,,
-25.4,-49.3,PR93-30,52.71,15.03,14.1,0.19,2.51,7.61,3,1.49,2.91,0.55,1.23,,10,,21,,,,39,383,,-2906.6341011971,202,22,480,,,,,45,73,,36,,,,,,,,,,,SA4,Ponta Grossa dike swarm,HT,Paraná,,-5488.05089610839,-2906.6341011971,,,2.91,,-5488.05089610839,-239.289758727253,,-20.0132816965187,
-25.7,-49.1,FL-6,52.04,13.87,14.62,0.2,3.81,7.85,2.6,1.33,2.86,0.35,1.87,,74,,63,,,,33,333,,-2943.44784347326,195,23,374,,,,,38,69,,40,,,,,,,,,,,SA4,Ponta Grossa dike swarm,HT,Paraná,,-5465.78699794973,-2943.44784347326,,,2.86,,-5465.78699794973,-228.514099784335,,,
-25.2,-49.3,PR93-32,55.6,13.87,11.58,0.15,2.4,5.8,3.16,2.52,3.19,0.91,1.7,,21,,23,,,,66,547,,-2882.14303797268,412,34,824,,,,,85,144,,78,,,,,,,,,,,SA2,Ponta Grossa dike swarm,HT,Paraná,,-5488.05089610839,-2882.14303797268,,,3.19,,-5488.05089610839,-262.352046488542,,-19.6445323384426,
-21.55,15.39,350,46.7,16.4,14.9,0.18,5.78,7.97,3.33,1.53,2.14,0.25,0.88,,64,,121,,,107,37,216,,-2441.89421360429,218,,455,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,TT,Etendeka,,,,,,2.14,,1713.20696330848,,,,
-21.36,13.92,KH-P26,46.9,14.2,12.74,0.19,6.69,11.7,2.56,0.41,1.65,0.18,2.61,,52,,66,,,70,16,262,,-2419.30063625565,94,,151,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.65,1549.56731184237,,,,
-21.29,13.9,KH-P24,47.3,14.5,12.04,0.18,7.39,12.1,2.63,0.28,1.33,0.15,1.9,,178,,81,,,65,13,213,,-2410.98417136523,81,,110,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.33,1547.3409220265,,,,
-21.39,15.51,346,47.8,14.8,13.28,0.18,7.32,9.18,2.85,0.88,1.81,0.23,2.02,,190,,77,,,93,23,324,,-2422.86606540425,141,9,380,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,TT,Etendeka,,,,,,,1.81,1726.56530220367,,,,
-21.46,15.87,320,49.3,14.2,14.17,0.21,6.31,9.63,2.56,1.02,1.77,0.19,0.72,,51,,38,,,104,59,234,,-2431.18827935057,116,12,188,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.77,1766.64031888925,,,,
-22.68,14.84,375A,49.4,13.7,10.84,0.17,10.1,9.9,1.89,1.04,1.08,0.14,2.2,,593,,214,,,84,37,168,,-2576.89664503555,117,,259,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.08,1651.98124337218,,,,
-22.66,14.79,374,49.4,13.7,10.77,0.17,10.3,9.9,1.94,0.96,1.08,0.14,1.94,,602,,264,,,77,27,162,,-2574.49760858904,115,,248,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.08,1646.41526883252,,,,
-21.46,15.74,109C,48.5,14.6,12.66,0.25,7.1,10.9,2.44,0.41,1.47,0.15,2.03,,93,,62,,,80,21,237,,-2431.18827935057,91,10,107,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.47,1752.16878508613,,,,
-21.72,15.25,29C1,57.9,13.6,10.62,0.14,2.32,5.32,2.34,3.88,1.62,0.28,2.39,,,,,,,118,124,229,,-2462.13489809828,280,15,779,,,,,,,,,,,,,,,,,,,SA2,HOD swarm,ER,Etendeka,,,,,,,1.62,1697.62223459742,,,,
-21.11,16.38,148C,50.7,14.5,10.26,0.16,8.97,9.71,2.03,0.74,0.94,0.12,2.28,,403,,158,,,66,16,207,,-2389.61732450839,107,9,230,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,0.94,1823.41325919382,,,,
-21.36,15.58,334,50.9,13.9,11.27,0.17,8.83,8.62,2.13,0.72,1.29,0.16,2.55,,636,,220,,,90,50,207,,-2419.30063625565,178,,373,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.29,1734.3576665592,,,,
-22.66,14.79,373,51.2,15.1,10.61,0.17,6.86,9.72,2.48,1.05,1.16,0.13,1.56,,118,,58,,,81,196,221,,-2574.49760858904,91,,128,,,,,,,,,,,,,,,,,,,SA4,HOD swarm,LT,Etendeka,,,,,,,1.16,1646.41526883252,,,,
-21.57,15.13,KH-P9,52.2,15.1,10.26,0.16,5.31,8.21,2.2,1.91,1.36,0.19,2.95,,45,,22,,,88,39,309,,-2444.27422151787,200,,547,,,,,,,,,,,,,,,,,,,SA4,HOD swarm,LT,Etendeka,,,,,,,1.36,1684.26389570223,,,,
-21.58,15.15,KH-P4,53.4,14.5,10.82,0.16,4.58,7.96,2.22,1.95,1.56,0.21,1.88,,25,,13,,,92,45,282,,-2445.46435004637,223,,540,,,,,,,,,,,,,,,,,,,SA4,HOD swarm,LT,Etendeka,,,,,,,1.56,1686.49028551809,,,,
-21.58,15.15,KH-P7,55.4,14.1,10.72,0.17,2.93,5.03,2.79,3.04,2.17,0.31,2.89,,,,,,,125,77,364,,-2445.46435004637,309,,1062,,,,,,,,,,,,,,,,,,,SA2,HOD swarm,ER,Etendeka,,,,,,2.17,,1686.49028551809,,,,
-21.93,15.35,G043,56.7,15.3,8.96,0.13,4.44,7.04,2.73,2.08,1.24,0.21,1.59,,92,,48,,,85,49,262,,-2487.17155331255,222,11,650,,,,,,,,,,,,,,,,,,,SA4,HOD swarm,LT,Etendeka,,,,,,,1.24,1708.75418367675,,,,
-21.58,15.16,KH-P6,59.5,12.5,10.76,0.12,1.64,4.89,1.91,3.41,2.11,0.31,2.53,,,,,,,108,96,313,,-2445.46435004637,365,,872,,,,,,,,,,,,,,,,,,,SA2,HOD swarm,ER,Etendeka,,,,,,2.11,,1687.60348042603,,,,
-21.39,15.51,346,47.8,14.8,13.34,0.18,7.32,9.18,2.85,0.88,1.81,0.23,2.02,345,190,56,77,78,3.3,93,23,324,2.2,-2422.86606540425,141,9.3,380,3.7,0.5,1.6,0.37,15.5,35.9,4.9,21.7,5.1,1.6,5.1,0.77,4.6,0.9,2.5,0.33,2.1,0.3,SA3,HOD swarm,TT,Etendeka,7.38095238095238,,,,7.38095238095238,,1.81,1726.56530220367,,,,
-22.66,14.79,374,49.4,13.7,10.77,0.17,10.3,9.9,1.94,0.96,1.08,0.14,1.94,254,602,53,264,93,4.8,77,27,162,3.2,-2574.49760858904,115,8.2,248,,0.54,3.3,0.45,17,33,4.5,18,4.1,1.2,4.2,0.76,4.2,0.84,2.5,0.36,2.4,0.36,SA3,HOD swarm,LT,Etendeka,7.08333333333333,,,,7.08333333333333,,1.08,1646.41526883252,,,,
-21.95,15.32,158C,49.1,15.7,10.2,0.17,7.61,11.9,2.03,0.49,1.03,0.11,1.41,341,247,45,70,62,2.8,71,16,242,7.9,-2489.55794009128,81,4.8,113,,0.48,2,0.44,11,24,3.2,13,3.4,1.1,3.5,,3.5,0.76,2.2,0.31,2,0.3,SA3,HOD swarm,LT,Etendeka,5.5,,,,5.5,,1.03,1705.41459895295,,,,
-21.75,15.4,RD324,49.3,16.6,9.33,0.16,7.6,12.6,2.13,0.36,0.71,0.07,1.16,318,147,,71,,2.4,350,,228,1.8,-2465.70929044222,52,5,76,1.3,,1.3,0.4,5.5,12,1.7,7.7,2.1,0.92,2.6,0.43,2.8,0.56,1.6,0.23,1.5,0.22,SA3,HOD swarm,LT,Etendeka,3.66666666666667,,,,3.66666666666667,,0.71,1714.32015821641,,,,
-21.7,15.37,RD328A,49.5,17,10.11,0.17,6.31,11.8,2.4,0.47,0.94,0.09,1.34,390,70,43,53,68,3.2,62,18,248,,-2459.75238888238,63,4.1,78,1.6,0.25,1.9,0.6,7,15,2.1,9,2.6,1.2,3.2,0.5,3.2,0.65,1.9,0.27,1.7,0.27,SA3,HOD swarm,LT,Etendeka,4.11764705882353,,,,4.11764705882353,,0.94,1710.98057349261,,,,
-21.36,15.61,RD336,49.7,15.9,12.34,0.19,5.41,9.98,2.6,0.9,1.39,0.14,1.47,408,36,43,40,112,5.7,88,24,244,,-2419.30063625565,101,7.6,158,2.8,0.61,3.9,1.2,13,28,3.8,16,4.2,1.5,4.9,0.78,4.8,0.99,2.9,0.41,2.6,0.41,SA3,HOD swarm,LT,Etendeka,5,,,,5,,1.39,1737.697251283,,,,
-21.42,15.9,RD360B,49.5,17.1,10.91,0.17,6.08,11.4,2.33,0.52,0.94,0.08,1.27,312,62,82,153,78,4.2,33,19,192,,-2426.43223436164,81,5.9,151,2.2,0.4,2.9,0.8,10,21,2.9,13,3.3,1.2,3.9,0.61,3.8,0.78,2.3,0.33,2.1,0.34,SA3,HOD swarm,LT,Etendeka,4.76190476190476,,,,4.76190476190476,,0.94,1769.97990361305,,,,
-21.29,13.9,KH-P24,47.3,14.5,12,0.18,7.39,12.2,2.63,0.28,1.33,0.15,1.9,365,178,50,81,175,1.5,65,13,213,1.6,-2410.98417136523,81,7.7,110,,0.6,0.89,0.24,9.1,21,3.1,13,3.4,1.2,3.8,0.72,3.9,0.73,2.2,0.3,2,0.29,SA3,HOD swarm,LT,Etendeka,4.55,,,,4.55,,1.33,1547.3409220265,,,,
-21.36,13.92,KH-P26,46.9,14.2,12.78,0.19,6.69,11.7,2.56,0.41,1.65,0.18,2.61,415,52,61,66,84,1.1,70,16,262,2.8,-2419.30063625565,94,5.9,151,2.52,0.49,1.03,0.24,11,26,3.7,16,4.2,1.4,4.5,,4.2,0.78,2.3,0.31,2,0.3,SA3,HOD swarm,LT,Etendeka,5.5,,,,5.5,,1.65,1549.56731184237,,,,
-21.95,14.73,Q18,49.2,14.5,12.56,0.19,7.01,10.3,2.12,0.81,1.39,0.16,0.73,349,99,58,81,116,1.8,84,15,226,0.4,-2489.55794009128,117,5.5,220,,0.42,0.84,0.21,8.1,19,2.8,12,3.2,1.1,3.7,0.7,4,0.8,2.5,0.34,2.4,0.36,SA3,HOD swarm,LT,Etendeka,3.375,,,,3.375,,1.39,1639.73609938492,,,,
-21.11,13.83,Q27,45.9,15.3,11.45,0.17,8.4,13.2,1.88,0.24,1.16,0.11,1.62,326,264,57,134,167,0.86,54,,193,2,-2389.61732450839,69,6.4,67,,0.47,0.61,0.18,5.7,13,1.9,9,2.7,0.99,3.3,,3.5,0.67,2.1,0.26,1.8,0.27,SA3,HOD swarm,LT,Etendeka,3.16666666666667,,,,3.16666666666667,,1.16,1539.54855767097,,,,
-22.65965,14.90193333,377*,48.82,14.72,9.85,0.16,9.76,11.92,1.61,0.59,0.77,0.1,1.94,,,,,,,,,,,-2574.45562860034,,,,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,0.77,1658.87563013091,,,,
-20.72202,14.2924,Do-09-4b,47.7,15.27,11.42,0.18,8.55,11.66,1.96,0.43,1.18,0.11,1.3,357,413,43,133,,2.5,65,15,216,1.9,-2343.65101517013,90,4.9,112,,,1.8,0.55,7.5,18,2.6,12,3.1,1.1,3.7,0.65,3.8,0.7,2.1,0.31,2,0.28,SA3,HOD swarm,LT,Etendeka,3.75,,,,3.75,,1.18,1591.02269021378,,,,
-21.52048,15.17505,G010D3,48.34,16.6,12.6,0.18,5.97,9.55,2.59,1.22,1.4,0.16,1,299.2,424,,94,,,71.9,17.6,183.8,,-2438.38192823613,107.1,,204.5,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.4,1689.27883876247,,,,
-20.74175,14.1373,JVT-09-8b,47.47,14.67,11.42,0.17,9.01,11.46,2.05,0.35,1.25,0.12,1.72,377,478,44.95,172.51,,1.8,66.18,4.95,227,0.79,-2345.98565163231,88,,115,,,1.2,0.39,7.2,18,2.5,12,3.2,1.1,3.9,0.68,4,0.76,2.3,0.32,2,0.29,SA3,HOD swarm,LT,Etendeka,3.6,,,,3.6,,1.25,1573.75703719175,,,,
-20.64406,14.15422,JVT-09-10,48.23,14.26,11.57,0.17,8.43,11.76,1.86,0.44,1.19,0.11,1.68,377,407,,163,,,74,15,196,,-2334.42907177137,76,10,88,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.19,1575.64056297597,,,,
-21.4235,13.89664,JVT-09-21b,45.53,15.49,11.69,0.18,8.41,12.41,2.12,0.21,1.15,0.11,2.44,364,354,42,132,,0.64,60,4.5,194,0.33,-2426.84833565633,76,7.3,85,,,0.7,0.17,6.6,15,2.1,9.8,2.8,1,3.6,0.64,3.9,0.78,2.4,0.34,2.2,0.32,SA3,HOD swarm,LT,Etendeka,3,,,,3,,1.15,1546.96688853744,,,,
-21.38363,13.92478,JVT-09-23b,45.65,15.23,11.86,0.17,7.29,12.02,2.25,0.41,1.47,0.14,3,384,220,41,86,,0.94,65,20,273,2,-2422.10894412624,93,7.3,104,,,0.77,0.19,7.9,20,2.9,13,3.4,1.2,3.9,0.67,3.8,0.7,2,0.29,1.8,0.25,SA3,HOD swarm,LT,Etendeka,4.38888888888889,,,,4.38888888888889,,1.47,1550.09941900836,,,,
-21.19776,14.08124,JVT-09-24b,46.16,16.04,11.24,0.18,9.09,11.31,2.19,0.51,1.13,0.15,1.69,317,406,47,165,,2,71,15,231,2.4,-2400.03155911582,103,10,186,,,1.3,0.38,10,25,3.1,14,3.4,1.1,4.1,0.72,4.5,0.9,2.8,0.42,2.8,0.4,SA3,HOD swarm,LT,Etendeka,3.57142857142857,,,,3.57142857142857,,1.13,1567.51646653788,,,,
-21.28482,14.4898,JVT-09-29b,46.77,15.41,11.24,0.17,8.5,12.13,2.14,0.24,1.31,0.11,1.74,387,386,40,146,,0.91,61,12,207,13,-2410.36891229317,81,5,70,,,0.62,0.2,5.3,14,2.2,10,3,1.1,3.6,0.66,3.9,0.72,2.2,0.33,2,0.28,SA3,HOD swarm,LT,Etendeka,2.65,,,,2.65,,1.31,1612.99715769638,,,,
-20.72442,14.2936,KT-10-5,48.08,14.18,11.78,0.18,8.48,11.92,1.91,0.45,1.19,0.11,1.45,367,383,41,162,123,2.4,73,16,203,1.8,-2343.93498896951,77,10,115,,,1.6,0.53,7.8,19,2.5,12,3.2,1.1,3.7,0.6,3.9,0.7,2.2,0.3,2.1,0.3,SA3,HOD swarm,LT,Etendeka,3.71428571428571,,,,3.71428571428571,,1.19,1591.15627360273,,,,
-20.46031,14.34696,KT-10-8*,46.95,13.67,12.7,0.17,7.03,11.48,2.89,0.76,2.2,0.24,1.27,,,,,,,,,,,-2312.71203226031,,,,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,TT,Etendeka,,,,,,2.2,,1597.09628163146,,,,
-20.4856,14.33784,KT-10-9*,46.52,14.77,12.32,0.17,8.18,10.54,2.77,0.59,1.71,0.21,1.74,,,,,,,,,,,-2315.69944024769,,,,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,TT,Etendeka,,,,,,,1.71,1596.08104787543,,,,
-21.35155,15.444483,M-09-2,51.85,15.54,9.03,0.15,6,9.19,2.2,1.32,0.9,0.12,3.25,236,189,,46,,,77,43,244,,-2418.29650707151,137,10,401,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,0.9,1719.27198312537,,,,
-21.256833,15.481433,M-09-5,49,15.8,10.96,0.17,8.01,10.73,1.89,0.54,1.04,0.1,1.39,303,165,,109,,,73,22,214,,-2407.04511068098,83,8,129,,,,,,,,,,,,,,,,,,,SA3,HOD swarm,LT,Etendeka,,,,,,,1.04,1723.38523831018,,,,
