Latitude,Longitude,Sample,SiO2,Al2O3,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,V,Cr,Co,Ni,Cu,Pb,Zn,Rb,Sr,Cs,Y,Zr,Nb,Ba,Hf,Ta,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,SOM_Cluster,Plumbing_System,Geochemical_Group,Province,LaYb,Xwmerckm,Ywmerckm,LaYb10plus,LaYb10minus,HT,LT,X,S1,S2,S3,S4
-5.933064171,-39.27219011,DCE08,52.4,13,13.8,0.19,3.88,6.98,3.15,2.01,3.1,0.74,0.52,260,,31.7,15.1,65,3,94,41.5,539,0.6,-657.235593262632,329.1,27.8,617,8.5,1.7,4.5,0.9,44.4,97.5,12.4,53.7,11.24,3.45,10.96,1.55,8.48,1.53,4.26,0.56,3.36,0.51,SA1,NE-RCM dike swarm,HT,Equatorial,13.2142857142857,,,13.2142857142857,,3.1,,-4371.76020538183,,,,
-5.936624915,-39.27913958,DCE09,52.1,13,13.8,0.19,3.96,7.24,3.07,1.89,3.09,0.7,0.75,266,,30.6,17.1,61.3,3.6,90,41.2,514.2,0.8,-657.631469984702,308.7,27,550,7.6,1.6,4.1,1,39.9,91.3,11.85,51.6,11.01,3.39,9.97,1.45,7.99,1.53,3.99,0.51,3.26,0.46,SA1,NE-RCM dike swarm,HT,Equatorial,12.239263803681,,,12.239263803681,,3.09,,-4372.53381684352,,,,
-5.915563293,-38.6252152,DCE10,50.2,12.4,15.7,0.19,4.34,7.8,2.7,1.57,3.8,0.44,0.52,453,,40.1,24.9,224.1,1.2,78,34.4,492.8,0.5,-655.28991667474,278.3,22.8,446,7.1,1.5,3.2,0.7,30.8,69.8,9.59,42.6,9.08,2.74,8.51,1.29,7.07,1.36,3.82,0.5,3.08,0.42,SA1,NE-RCM dike swarm,HT,Equatorial,10,,,,,3.8,,-4299.73928784461,,,,
-5.897471064,-38.58689609,DCE11,52.4,13.2,14.5,0.19,3.63,7.26,2.95,1.88,3.32,0.54,0.41,351,,33.6,20.4,188.8,1.5,79,40.8,518.5,0.7,-653.278561671619,320.3,25,510,8,1.6,4,1,36.7,83,11.15,45.8,10.75,3,9.57,1.44,8.03,1.59,4.05,0.54,3.42,0.46,SA1,NE-RCM dike swarm,HT,Equatorial,10.7309941520468,,,10.7309941520468,,3.32,,-4295.47362403176,,,,
-5.696128442,-38.71658091,DCE12A,50.3,13,14.4,0.18,4.31,7.44,3.02,1.81,3.54,0.54,1.33,385,,37.6,32,177.5,2.6,98,41.2,568.2,2.2,-630.899274932613,280.4,24.9,755,7.2,1.4,3.8,0.9,38.2,83.9,10.97,46.4,9.68,3.08,9.03,1.34,7.55,1.41,3.91,0.46,3,0.43,SA1,NE-RCM dike swarm,HT,Equatorial,12.7333333333333,,,12.7333333333333,,3.54,,-4309.91007215778,,,,
-5.696128442,-38.71658091,DCE12B,50.6,13,14.6,0.18,4.06,7.13,3.06,1.85,3.41,0.57,1,363,,38.4,31.9,122.2,2.2,93,43.1,586.1,1.4,-630.899274932613,295.4,24.5,968,7.3,1.4,3.9,0.8,38.9,84.8,11.46,48.4,10.28,3.16,9.75,1.4,8.07,1.5,3.98,0.51,3.22,0.47,SA1,NE-RCM dike swarm,HT,Equatorial,12.0807453416149,,,12.0807453416149,,3.41,,-4309.91007215778,,,,
-5.627363,-38.742249,DCE14,51.8,12.8,14.1,0.18,4.13,6.72,3.15,2.33,3.14,0.82,0.66,284,,34.8,14.5,62.4,3.8,99,68.8,538,2.1,-623.257812405228,323.8,28.1,655,8.3,1.6,4.3,1.1,45.3,97.9,12.3,52.5,11.18,3.37,10.65,1.59,8.7,1.59,4.3,0.56,3.49,0.51,SA1,NE-RCM dike swarm,HT,Equatorial,12.9799426934097,,,12.9799426934097,,3.14,,-4312.76743086621,,,,
-5.9702,-38.6292,DCE18,50.9,13,15,0.17,4.05,7.7,2.74,1.64,3.54,0.45,0.59,408,,38.4,24.6,206.3,2.1,85,37.2,511.7,0.8,-661.364411532379,275.3,22.7,555,7.2,1.4,3.4,0.8,35.5,74.9,10.17,45.1,9.88,2.95,9.33,1.4,7.75,1.53,4.03,0.55,3.16,0.48,SA1,NE-RCM dike swarm,HT,Equatorial,11.2341772151899,,,11.2341772151899,,3.54,,-4300.18287375152,,,,
-5.9878,-39.3685,DCE19.1,52.5,13.1,13.3,0.18,3.67,6.32,3.33,2.48,2.97,0.78,1.43,234,,29.6,14.7,53.5,4.2,73,65.2,647.1,1.1,-663.321305388411,329.2,27.4,638,8.1,1.9,4.6,0.8,45.6,97.9,13.26,57,11.77,3.59,11.08,1.65,8.88,1.7,4.53,0.55,3.72,0.51,SA1,NE-RCM dike swarm,HT,Equatorial,12.258064516129,,,12.258064516129,,2.97,,-4382.48137329499,,,,
-5.9878,-39.3685,DCE19.2,51.6,13.2,13.7,0.19,3.93,6.98,3.07,2.23,3.1,0.69,0.9,277,,33.6,15.7,65.1,3.4,73,64,659,1.2,-663.321305388411,313,26.4,582,8,1.7,4.6,1.1,43.1,91.6,12.15,51.2,10.82,3.32,10.35,1.52,8.33,1.58,4.23,0.58,3.35,0.51,SA1,NE-RCM dike swarm,HT,Equatorial,12.865671641791,,,12.865671641791,,3.1,,-4382.48137329499,,,,
-5.9578,-39.322,DCE20,52.2,12.8,13.8,0.16,3.81,7.41,2.63,2.12,3.07,0.78,1.42,268,,32.5,16.7,77.3,1.8,92,54.3,537.5,0.7,-659.985729119118,338.8,28.6,612,8.6,1.7,4.9,1.1,48.1,103.4,13.21,57.3,12,3.6,11.47,1.65,9.15,1.69,4.66,0.61,3.6,0.52,SA1,NE-RCM dike swarm,HT,Equatorial,13.3611111111111,,,13.3611111111111,,3.07,,-4377.3050169731,,,,
